Project,Rule,Failed Control
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-jrn-ide-01-0376,k8s-fw-l7--cfbd520bae82dd15,public target: 130.211.0.0/22
eplus-jrn-ide-01-0376,k8s-fw-l7--cfbd520bae82dd15,public target: 35.191.0.0/16
eplus-jrn-ide-01-0376,k8s-fw-l7--cfbd520bae82dd15,public target: 209.85.152.0/22
eplus-jrn-ide-01-0376,k8s-fw-l7--cfbd520bae82dd15,public target: 209.85.204.0/22
eplus-dat-ide-02-dcdb,collibra-jobserver-service,ip_range: 0.0.0.0
eplus-dat-ide-02-dcdb,collibra-jobserver-ssh,ip_range: 0.0.0.0
eplus-dat-ide-02-dcdb,collibra-jobserver-ssh,bad port(s) found: ['tcp:22']
eplus-dat-ide-02-dcdb,default-allow-https,ip_range: 0.0.0.0
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-all,tcp:all ports
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-all,udp:all ports
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-ssh,public target: 35.242.151.118/32
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-ssh,bad port(s) found: ['tcp:22']
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-vms,ip_range: 0.0.0.0
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-dat-ide-02-dcdb,gke-argo-test-63210e89-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
